Hero	Deck	Title	HP	Keywords	Game Text	Flavor Text	Attribution	Qty	Set
Chrono-Ranger	Chrono-Ranger	"Get It Done"		Ongoing, Bounty	Play this card next to the non-Hero target with the fewest Bounty cards next to it. If this card is ever not next to a target, each Hero draws 1 card, each Hero target regains 1 HP, Chrono-Ranger draws 1 card, then bury this card.	"The twists in time point here -- take this one down, and you’ll save the library. Hurry!”	CON, Mystery Comics Vol. 2 #297	1	Disparation
Chrono-Ranger	Chrono-Ranger	Hunter and Hunted		One-Shot	You may discover 1 Bounty card. If no cards are played this way, draw X cards, where X is the number of Bounty cards in play. Chrono-Ranger deals 1 target next to a Bounty card 2 projectile damage. That target deals Chrono-Ranger 2 melee damage.	"Time to put you down, varmint!”	Chrono-Ranger, The Last Hunt #6	3	Disparation
Chrono-Ranger	Chrono-Ranger	"Kill on Sight"		Ongoing, Bounty	Play this card next to the non-Hero target with the fewest Bounty cards next to it. +2 projectile damage dealt by Chrono-Ranger to the target next to this card. If this card is ever not next to a target, Chrono-Ranger draws 1 card, then bury this card.	"Another hunter, yes, but this one is as much monster as he is man.”	CON, Temporal Targets #1	1	Disparation
Chrono-Ranger	Chrono-Ranger	The Masadah		Item, Limited	Damage dealt with this power to targets next to Bounty cards is irreducible. POWER: Discard up to 2 cards. Chrono-Ranger deals 1 target X energy damage, where X is the number of cards discarded this way plus 3.	"As much as I prefer my six-gun, this is one fine piece of work.”	Chrono-Ranger, Prime Wardens Vol. 1 #185	2	Disparation
Chrono-Ranger	Chrono-Ranger	"No Executions"		Ongoing, Bounty	Play this card next to the non-Hero target with the fewest Bounty cards next to it. If the target next to this card ever has 4 or fewer HP, bury that target. If this card is ever not next to a target, Chrono-Ranger draws 1 card, then bury this card.	"We want this one alive. No time to explain. Er, I mean, lots of time, I guess? But go do it now, anyway.”	CON, Into the Sunset One-Shot	1	Disparation
Chrono-Ranger	Chrono-Ranger	Reprioritize		One-Shot	Return 1 Bounty card in play to your hand. Either play or summon 1 Bounty card. Chrono-Ranger may deal 1 target next to a Bounty card 1 projectile damage.	"Ma’am, I would greatly appreciate it if we could postpone our hostilities. Somethin’ has come up.”	Chrono-Ranger, Disparation Vol. 2 #137	3	Disparation
Chrono-Ranger	Chrono-Ranger	Temporal Grenade		Item, Limited	POWER: Chrono-Ranger deals up to 3 targets 2 energy damage each. Destroy 1 Ongoing card. Bury this card. REACTION: Destroy 1 Ongoing card or bury 1 One-Shot card in the process of being resolved. Bury this card.	"Don’t interfere with nothin’ beyond your scope.”	Chrono-Ranger, Temporal Targets #5	3	Disparation
Chrono-Ranger	Chrono-Ranger	Terrible Tech Strike		One-Shot	Chrono-Ranger deals 1 target 2 melee damage. Then, if that target has 3 or fewer HP, destroy it. Either collect 1 Item card or use 1 power.	"Thunder and mud! Enough is enough!”	Chrono-Ranger, Draw! One-Shot	3	Disparation
Chrono-Ranger	Chrono-Ranger	"The Ultimate Target"		Ongoing, Bounty	Play this card next to a non-Hero target.  After Chrono-Ranger deals damage to a non-Hero target other than this target, Chrono-Ranger deals this target 1 fixed projectile damage. If this card is ever not next to a target, Chrono-Ranger draws 1 card, then bury this card.	"Good shooting, tex. But you don’t have to handle this alone. Consider us backup.”	Expatriette, Dark Watch Vol. 1 #68	1	Disparation
Chrono-Ranger	Chrono-Ranger	Wrangle		Ongoing, Limited	After this card is played, Chrono-Ranger deals 1 target 1 melee damage. −2 damage dealt by that target. Whenever that target would deal damage, redirect that damage to Chrono-Ranger. START PHASE Shuffle your trash into your deck. Bury this card.	"Hold on tight, cowboy man! I think you’ve almost tired it out!”	Haka, The Savage Haka #113	2	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Æternal Bond		One-Shot, Soul	If Darkstrife or Painstake are Incapacitated, flip them to their active side and set their HP to 6.  Darkstrife and Painstake regain 1 HP each. You may discard up to 2 Soul cards. Each time you discard a card this way, Darkstrife and Painstake regain 2 HP each.	"You are each two parts of a whole, yet entirely  your own person. Even with no soul at all,  you are still yourselves.”	Soothsayer Carmichael, Soulseekers #5	2	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Bone Barricade		Ongoing, Æterna, Limited	−1 damage dealt to Darkstrife.  −1 damage dealt to Painstake.  When this card is destroyed, draw 2 cards.  START PHASE  Either discard 1 Æterna card or destroy this card.	"You think you’re safe?  I know your entire story -- soon,  the whole world will, as well!”	Busybody, Justice Comics #638	3	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Concordat of Pain and Strife		Ongoing, Æterna, Soul	START PHASE  Darkstrife deals 1 target 1 infernal damage. If Painstake is active, 1 Hero target regains 1 HP.  END PHASE  You may either discard 1 Soul card to play 1 card, or discard 1 Æterna card to use 1 power.	"A cursed soul. A damned soul. A pure soul.  All shattered. Made whole, in one soul -- our soul.”	Painstake, Soulseekers #6	1	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Demon Prince		Ongoing, Æterna, Limited	+1 damage dealt by Darkstrife. START PHASE If you have no Æterna cards in hand, draw 2 cards and destroy this card.	"You dare?!  Your feeble attempts to undermine me would be  laughable, were they even worth my notice!”	Darkstrife, Tome of the Bizarre Vol. 3 #97	3	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Demonic Form		SUDDENLY!, Ongoing, Æterna	Whenever a card of yours would cause a target to regain HP, Painstake deals 1 non-Hero target that much infernal damage instead.  START PHASE  Painstake deals 1 non-Hero target 2 infernal damage and deals 2 ally targets 1 infernal damage each. Either discard 1 Soul card or destroy this card.	"Pfft, you are no mere girl -- you are a demon,  through and through. If you want that human  soul, then you should take it!”	Seviathall, Tome of the Bizarre Vol. 3 #95	1	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Enthrall		Ongoing, Æterna, Limited	After this card is played, select 1 target.  Whenever that target would deal damage, you may discard 1 Æterna card. If you do, redirect that damage.  START PHASE  Draw 1 card, then destroy this card.	" --oh. Uh, sorry about all that stuff I said about you  being a ‘vile demon’. Not sure what I was thinking. We’re  friends, right? Man, my head is killing me.”	Martyr, Justice Comics #524	2	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Harae Purification		One-Shot, Soul	Painstake and Darkstrife each regain 2 HP.  You may destroy 1 Ongoing card.  If Painstake is active, you may discard 1 Soul card. If you do, draw 3 cards.	"It’s true that your stranglehold here is not  easily undone, but undone it shall be!”	Painstake, Pain and Strife #4	3	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	The Heartblade		Item, Relic, Æterna, Limited	POWER: Darkstrife deals 1 target 2 melee damage. You may discard 1 Æterna card. If you do, Darkstrife deals that target 3 infernal damage.	"This blade beats with the pulse of my rage!”	Darkstrife, Æternal Torment #3	2	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Overflowing Power		One-Shot, Æterna, Soul	Either draw 2 cards or use 1 power now.  You may discard 1 card. If you discarded a Soul card this way, each Hero target regains 1 HP. If you discarded an Æterna card this way, summon 1 Ongoing card.	"We have to put them down now,  before they can report our location.”	Darkstrife, Pain and Strife #2	4	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Projected Fear		Ongoing, Soul, Limited	After this card is played, if Painstake is active, draw 1 card. POWER: Painstake deals 1 target 2 psychic damage. −1 damage dealt by that target until your START PHASE.	"What she’s showing you, it’s not real.  That doesn’t keep you from feeling like it’s  all really happening though, does it?”	The Wraith, Mystery Comics Vol. 2 #331	2	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Serrated Spinewhip		One-Shot, Æterna	Darkstrife deals 1 target 3 melee damage.  You may discard 1 Æterna card. If you do, Darkstrife deals up to 3 targets 1 infernal damage each.	"Gonna have to hold him long enough for me  to slip by. After that comes the hard part.”	Rambler, Soulseekers #3	3	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Shared Torment		Ongoing, Soul, Limited	After this card is played, if Painstake is active, draw 1 card.  REACTION: If Painstake or Darkstrife would be dealt damage, redirect that damage to the other one. −2 to the damage redirected this way.	"Your blood magic is strong, but no match for an  Æternal! Fly away, before it is too late!”	Darkstrife, Alpha: The Wolf-Woman #58	3	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Sigils of Power		Ongoing, Soul, Limited	After Darkstrife is dealt melee damage, draw 1 card.  After Painstake is dealt infernal damage, she regains 2 HP.  POWER PHASE  You may use 1 additional power this phase.	"We draw these sigils upon our very bones to shield  us from the malevolent will of Æternus.”	Painstake, Tome of the Bizarre Vol. 3 #3	2	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Take Pains		Ongoing, Soul, Limited	After this card is played, if Painstake is active, draw 1 card. POWER: If Painstake is active, 1 target regains 4 HP. Either discard 1 Soul card or Painstake deals herself 2 fixed infernal damage.	"I know you fear and hate me, but I have no choice.  If I don’t give you my own essence, you may not  survive the night.”	Painstake, Tome of the Bizarre Vol. 3 #44	3	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	The Way of Kami		One-Shot, Soul	Draw 1 card.  1 target regains 2 HP.  If Painstake is active, you may discard 1 Soul card. If you do, up to 3 targets regain 2 HP each.	"The darkness of Æternus cannot fully  overshadow your souls -- only by making you  lose hope can they defeat you.”	Painstake, Æternal Torment #4	3	Disparation
Darkstrife and Painstake	Darkstrife and Painstake	Vitae-Blast		One-Shot, Æterna	Darkstrife deals 1 target 3 irreducible infernal damage.  If Darkstrife is active, you may discard 1 Æterna card. If you do, use 1 power now.	"You draw on forbidden energies -- take care that  you do not bring your realm to this one with  your careless actions.”	NightMist, NightMist #36	3	Disparation
Expatriette	Expatriette	Arsenal Access	-	One-Shot	Discover 1 Gun card and 1 Ammo card. Draw 1 card. You may play 1 Item card.	"A wraith can take to the shadows,  but the shadows don’t provide cover.”	Expatriette, Mystery Comics Vol. 2 #21	4	Rook City Renegades
Expatriette	Expatriette	Assault Rifle	-	Item, Gun, Limited	POWER: You may activate LOADED on 1 Ammo card in play. Expatriette deals up to 3 targets 2 projectile damage each. 1 Hero draws 1 card. Then, destroy the activated Ammo card.	"If I can get close enough, I think I can  destroy Doctor Toxica’s detonation device.  Keep up that suppressive fire!”	Young Legacy, America’s Newest Legacy #514	2	Rook City Renegades
Expatriette	Expatriette	Backup Plan	-	One-Shot	Discover 1 Gun card or discover 1 Ammo card. One Hero character may deal 1 target 3 melee damage. A second Hero character may regain 2 HP. A third Hero may salvage 1 Item card.	"It's fine."	Mr. Fixer, Dark Watch Vol. 2 #1	3	Rook City Renegades
Expatriette	Expatriette	Black Market Contacts	-	One-Shot	Discard up to 3 cards. Summon X Item cards, where X is the number of cards discarded this way plus 1.	"You holding out on me, old man?  I need quality, and I’m willing to pay for it.”	Expatriette, Mystery Comics Vol. 2 #34	3	Rook City Renegades
Expatriette	Expatriette	Comprehensive Plan	-	One-Shot	One Hero either draws 1 card or puts 1 card from their hand or trash on top of their deck.  A second Hero may use 1 power.  A third Hero may play 1 card.	"Got it. So, Setback and Fixer keep his attention.  Faye can pull me back. You're support. I go through the  portal and disrupt the relic. I think I'm ready."	The Harpy, Dark Watch Annual #4	3	Rook City Renegades
Expatriette	Expatriette	Double-Barrel Shotgun	-	Item, Gun, Limited	POWER: You may activate LOADED on up to 2 Ammo cards in play. Expatriette deals 1 target 4 projectile damage. Then, destroy each activated Ammo card.	"Your reliance on your powers makes you weak.  You all think you’re so superior,  but you’re the blind ones.”	Amanda Cohen, Emigrant's Song #3	2	Rook City Renegades
Expatriette	Expatriette	Fists Full of Lead	-	Ongoing, Limited	POWER: Draw 2 cards. POWER PHASE You may use 1 additional power this phase.	"I watched you fighting in the thick of it,  and you still picked your targets carefully. That’s a  considerate choice -- the choice of a hero.”	Legacy, Freedom Five #443	3	Rook City Renegades
Expatriette	Expatriette	Hairtrigger Reflexes	-	Ongoing, Limited	REACTION: Expatriette deals the attacker 2 projectile damage. Draw 1 card.	"If you can’t go from unarmed to  pulling the trigger in under two seconds,  you’re too slow for this work.”	Expatriette, Dark Watch Vol. 1 #3	2	Rook City Renegades
Expatriette	Expatriette	Hollow-Point Rounds	-	Item, Ammo	LOADED +2 damage dealt with this power.	"Oh, so you liked those last bullets, metalmouth?  Try these on for size!”	Expatriette, Dark Watch Vol. 1 #61	2	Rook City Renegades
Expatriette	Expatriette	Liquid Nitrogen Rounds	-	Item, Ammo	LOADED Change the damage type to cold. +1 damage dealt with this power. Whenever a target would be destroyed by damage from this power, bury that target instead.	"You work so hard just to be still not as powerful  as the Citizens of the Sun. Pathetic.”	Citizen Dawn, Justice Comics #536	2	Rook City Renegades
Expatriette	Expatriette	Lock and Load	-	One-Shot	Summon 1 Gun card.  Shuffle your trash into your deck.  Discover X Ammo cards, where X is the number of Gun cards in play.  1 ally Hero may play the top card of their deck.	"Looks like they’ve got us surrounded.  In our own safehouse. Where we keep all our stuff.  I hate to say it, but I like our odds.”	Setback, Terminal Ballistics #50	3	Rook City Renegades
Expatriette	Expatriette	Modified SMG	-	Item, Gun, Limited	POWER: Either play 1 Ammo card or draw 1 card. You may activate LOADED on 1 Ammo card in play. Expatriette deals each non-Hero target 1 projectile damage. Then, destroy the activated Ammo card.	"Your reliance on your powers makes you weak.  You all think you’re so superior,  but you’re the blind ones.”	Amanda Cohen, Emigrant's Song #3	2	Rook City Renegades
Expatriette	Expatriette	Pride and Prejudice	-	Item, Gun, Limited	POWER: You may activate LOADED on 1 Ammo card in play. Expatriette deals 1 target 2 projectile damage. Destroy the activated Ammo card. You may activate LOADED on 1 Ammo card in play. Expatriette deals 1 target 2 projectile damage. Destroy the activated Ammo card.	"Pride, because you clearly think pretty highly of  yourself. And, Prejudice, well, let’s just say you’ve  got something of a chip on your shoulder.”	Girder, Rook City Renegades #15	2	Rook City Renegades
Expatriette	Expatriette	Shock Rounds	-	Item, Ammo	LOADED Change the damage type to lightning. After a target is dealt damage with this power, if that target has 3 or fewer HP, destroy it.	"You think all that hardware you’re packing  these days makes you strong? Hardly.  It’s what makes you vulnerable.”	Expatriette, Rook City Renegades #187	2	Rook City Renegades
Expatriette	Expatriette	Targeted Explosion	-	One-Shot	Destroy 1 Ongoing or Environment card.  Expatriette deals up to 3 targets 2 fire damage each.	"That doesn’t sound like one of the normal lab  explosions... what is going on down there?”	Chairman Pike, Rook City Renegades #68	3	Rook City Renegades
Expatriette	Expatriette	Thermite Rounds	-	Item, Ammo	LOADED Change the damage type to fire. +1 damage dealt with this power. Damage dealt with this power is irreducible.	"My magics alone cannot undo this abomination,  but with this Jotunn’s Bane incantation, your fiery  rounds may find a more vulnerable target.”	NightMist, Tome of the Bizarre Vol. 3 #50	2	Rook City Renegades
Fanatic	Fanatic	Absolution	-	Item, Relic, Limited	POWER: Fanatic deals 1 target 3 melee damage. Then, if Fanatic is at 10 or fewer HP, Fanatic deals 1 target 2 fire damage and 2 radiant damage.	"Absolution you are called, and absolution you shall deliver."	Fanatic, Absolution #1	2	Core Game
Fanatic	Fanatic	Aegis of Resurrection	-	Item, Relic, Limited	When Fanatic would be reduced to 0 HP, prevent that damage and destroy this card. When this card is destroyed, Fanatic regains 10 HP.	"No mere mortal wound can destroy the form of God's chosen."	Fanatic, Absolution #10	2	Core Game
Fanatic	Fanatic	Anoint Allies	-	Ongoing	+1 damage dealt by your allies. If Fanatic has 10 or fewer HP, +1 damage dealt by Fanatic. START PHASE Either destroy this card or Fanatic deals herself 3 fixed psychic damage.	"The faith practices of you humans are so unlike those of Maerynians, yet I still appreciate your blessing."	Tempest, Prime Wardens Vol. 1 #87	2	Core Game
Fanatic	Fanatic	Brutal Censure	-	Ongoing	After this card is played, select a non-character target. That card has no game text. START PHASE Either destroy this card or Fanatic deals herself 3 fixed psychic damage.	"Know the error of thine ways."	Fanatic, Absolution #6	2	Core Game
Fanatic	Fanatic	Consecrated Ground	-	One-Shot	Destroy 1 Ongoing card. Fanatic deals up to 3 targets 1 radiant damage each.	"Your dark rituals have no sway in this holy place."	Fanatic, Fanatic Vol. 1 #5	3	Core Game
Fanatic	Fanatic	Divine Sacrifice	-	One-Shot	Fanatic deals herself up to 3 radiant damage. Fanatic deals X targets 3 radiant damage each, where X is the amount of damage dealt to Fanatic this turn.	"Face me and tremble!"	Fanatic, Mystery Comics Vol. 2 #369	2	Core Game
Fanatic	Fanatic	End of Days	-	Ongoing	START PHASE Destroy all cards other than this card, character cards, and Relic cards. Then, destroy this card.	"The blight upon this land be cleansed!"	Fanatic, Absolution #9	2	Core Game
Fanatic	Fanatic	Final Dive	-	One-Shot	Destroy 1 non-character target with 4 or fewer HP. Fanatic deals 1 target X projectile damage, where X is the destroyed target's HP before it was destroyed.	"Meet thy maker."	Fanatic, Tome of the Bizarre Vol. 3 #9	3	Core Game
Fanatic	Fanatic	Holy Nova	-	One-Shot	Fanatic deals each non-Hero target 1 radiant damage. Each Hero target regains 1 HP. Then, if Fanatic has 10 or fewer HP, Fanatic deals up to 3 targets 2 radiant damage each.	"You can hide in the sun 'til you see the light."	Apostate, Mystery Comics Vol. 2 #366	3	Core Game
Fanatic	Fanatic	Prayer of Desperation	-	One-Shot	Reveal the top 4 cards of your deck. Put any Item or Ongoing cards revealed this way in your hand. Discard the other revealed cards. Then, if Fanatic has 10 or fewer HP, play up to 2 cards.	"Let this not be the last breath your servant draws."	Fanatic, Prime Wardens Vol. 1 #152	4	Core Game
Fanatic	Fanatic	Righteous Rebuke	-	Ongoing, Limited	POWER: Fanatic deals 1 target 2 radiant damage. Then, if Fanatic has 10 or fewer HP, Fanatic deals up to 3 targets 2 radiant damage each and regains 2 HP.	"The prayers and rituals of believer have ne'er wracked my body with such pain before!"	Blood Countess, Fanatic Vol. 1 #9	2	Core Game
Fanatic	Fanatic	Rosary of the Mysteries	-	Item, Relic, Limited	POWER: Shuffle your trash into your deck. Discard 5 cards. Draw 5 cards. Then, if Fanatic has 10 or fewer HP, Fanatic regains up to 5 HP.	"Ah! Connecting to a spiritual realm using an artifact of power! Not much of a musical instrument though."	The Argent Adept, Prime Wardens Vol. 1 #129	2	Core Game
Fanatic	Fanatic	Sacrosanct Martyr	-	Ongoing, Limited	POWER: Fanatic deals herself up to 3 radiant damage. Fanatic deals 1 target X radiant damage, where X is the amount of damage dealt to Fanatic this turn.	"What you call a sacrifice, I consider a necessity."	Fanatic, Mystery Comics Vol. 1 #338	2	Core Game
Fanatic	Fanatic	Sanctifying Strike	-	One-Shot	Fanatic deals 1 target 2 melee damage. Draw 1 card. Fanatic regains 2 HP.	"The evil influence of this man has been lessened. The wounds he caused can begin to heal."	Haka, Prime Wardens Vol. 1 #179	3	Core Game
Fanatic	Fanatic	Smite the Transgressor	-	One-Shot	Fanatic deals 1 target 2 melee damage. Then, if Fanatic has 10 or fewer HP, use up to 2 powers.	"I am usually one to call for restraint, but now is hardly one of those times."	Captain Cosmic, Prime Wardens Vol. 2 #58	3	Core Game
Fanatic	Fanatic	Undaunted	-	Ongoing, Limited	Whenever exactly 1 damage would be dealt to Fanatic, -1 to that damage. If Fanatic has 10 or fewer HP and would be dealt 5 or more damage, -3 to that damage.	"You took on nine gods by yourself. Will you not even take a moment to rest?!"	Ra, Baptism By Fire #5	2	Core Game
Fanatic	Fanatic	Wrathful Retribution	-	Ongoing	START PHASE Fanatic deals 1 target X radiant damage, where X is Fanatic's maximum HP minus her current HP. Then, bury this card.	"You have been judged and found sorely wanting. Perish!"	Fanatic, Absolution #10	1	Core Game
Haka	Haka	Dance in the Fray	-	Ongoing, Limited	After any of your Ongoing cards are destroyed, Haka deals 1 target 2 melee damage. POWER: Draw 1 card. Play 1 card.	"His boundless energy... almost as if he draws strength and vitality from beyond his own realm."	La Capitan, The Savage Haka #268	3	Core Game
Haka	Haka	Haka of Battle	-	Ongoing, Haka	+1 damage dealt by Haka. START PHASE Discard any number of cards. Haka deals 1 target X melee damage, where X is the number of cards discarded this way plus 2. Then, destroy this card.	"Ka mate ka mate! Ka ora' ka ora'! Ka mate ka mate! Ka ora' ka ora'!"	Haka, Prime Wardens Vol. 1 #97	4	Core Game
Haka	Haka	Haka of Frenzy	-	Ongoing, Haka	Damage dealt by Haka is irreducible. START PHASE Discard any number of cards. Haka deals X targets 3 melee damage each, where X is the number of cards discarded this way plus 1. Then, destroy this card.	"Some prepare for battle in quiet contemplation or prayer. Aata finds his strength in exultant expression."	Tempest, Prime Wardens Vol. 1 #1	4	Core Game
Haka	Haka	Haka of Recovery	-	Ongoing, Haka	-1 damage dealt to Haka. START PHASE Discard any number of cards. Haka regains X HP, where X is the number of cards discarded this way times 2. Then, destroy this card.	"I know not how you do what you do, my friend, but I cannot deny the power in your songs and chants."	The Argent Adept, Prime Wardens Vol. 1 #14	4	Core Game
Haka	Haka	Knock Heads	-	Ongoing	After this card is played, Haka deals up to 2 targets 2 melee damage each. -1 damage dealt by those targets. START PHASE Destroy this card.	"I could have sworn he was right here. How could such a huge man have escaped my sight?"	Desert Eagle, Freedom Five Annual #11	3	Core Game
Haka	Haka	Mere	-	Item, Limited	POWER: Haka deals 1 target 3 melee damage. Draw 1 card.	"This club is as much me as my fist or my leg. Let me show you!"	Haka, Battle Unending #1	3	Core Game
Haka	Haka	Rampage	-	One-Shot	Haka deals each non-Hero target 5 melee damage and each Hero target 2 melee damage. Whenever Haka destroys a target with this damage, draw 1 card.	"I share no love for these robotic nuisances... but that was a bit much."	Ra, Singularity #5	3	Core Game
Haka	Haka	Sudden Utu	-	Ongoing, Limited	REACTION: Haka deals the attacker 2 melee damage.	"You are not nearly as fearsome as your namesake."	Haka, Battle Unending #8	2	Core Game
Haka	Haka	Surge of Ihi	-	One-Shot	Haka deals 1 target 2 melee damage. Draw 2 cards.	"True might comes from faith. I cannot ignore your strength, large man. But do not think it enough!"	Fanatic, Tome of the Bizarre Vol. 2 #200	3	Core Game
Haka	Haka	Ta Moko	-	Ongoing, Limited	-1 damage dealt to Haka. DRAW PHASE You may draw 1 additional card this phase.	"These markings I wear on my face? I did them myself. With a sharp stick and snake venom. Your threats mean nothing to me."	Haka, Arcane Tales Vol. 1 #14	3	Core Game
Haka	Haka	Taiaha	-	Item, Limited	POWER: Haka deal up to 2 targets 3 melee damage each. START PHASE You may destroy 1 Ongoing card. If you do, destroy this card.	"Using the taiaha is all about balance. It also helps to be stronger than everyone else."	Haka, The Savage Haka #1	3	Core Game
Haka	Haka	Taonga Mana	-	Ongoing, Limited	After Haka destroys any non-Hero target, draw 1 card. START PHASE You may draw 3 cards. If you do, destroy this card.	"I have oft remarked upon your 'gentle giant' nature. I appreciate your ability to drop the 'gentle' part, at times."	Captain Cosmic, Prime Wardens Vol. 1 #160	2	Core Game
Haka	Haka	Tiaki Defender	-	Ongoing, Limited	Whenever an ally would be dealt damage by a non-Hero target, you may redirect that damage to Haka. START PHASE Destroy this card.	"You've always inspired me to be a better hero. And now I owe you my life as well. Thank you, old friend."	Legacy, Vengeance #5	3	Core Game
The Harpy	The Harpy	Arcane Explosion	-	One-Shot	The Harpy deals up to 5 targets 3 infernal damage each.  If there are no Flock cards in play, you may draw 1 card or play 1 Ongoing card.	"Everything the magic can touch, it can burn.  And magic touches everything.”	The Harpy, Dark Watch Vol. 1 #51	3	Rook City Renegades
The Harpy	The Harpy	Avian Aid	-	One-Shot	Discover 1 Flock card. Either summon 1 Cohort card or summon The Mask of Sky and Shroud.	"They have been with you all along-- dual aspects  of your personality and your power.”	The Scholar, Tome of the Bizarre Vol. 4 #5	4	Rook City Renegades
The Harpy	The Harpy	Boil of Hawks	-	Ongoing, Flock	START PHASE Discard 2 cards. Then, if you have no cards in hand, The Harpy deals herself 2 fixed psychic damage and destroy this card. END PHASE The Harpy deals up to 3 targets 2 projectile damage each.	"Your furious flock of fowl tears  hungrily at my creations. Good, good...  exactly as I’d anticipated.”	Biomancer, Vengeance Returned #3	2	Rook City Renegades
The Harpy	The Harpy	Chatter of Starlings	-	Ongoing, Flock	START PHASE Discard 2 cards. Then, if you have no cards in hand, The Harpy deals herself 2 fixed psychic damage and destroy this card. END PHASE The Harpy deals each non-Hero target 1 sonic damage.	"I told you a bunch of very loud birds could be  useful! Just gotta find the right application!”	Setback, Dark Watch Vol. 1 #142	2	Rook City Renegades
The Harpy	The Harpy	Eldritch Training	-	Ongoing, Limited	After this card is played, you may draw 1 card or play 1 card. END PHASE Either draw 2 cards or destroy 1 Flock card.	"No, you can’t use the mask. You don’t need it.  But it needs you. Who is in charge here?”	NightMist, Dark Watch Vol. 1 #7	2	Rook City Renegades
The Harpy	The Harpy	The Flock's Care	-	Ongoing, Limited	After a Flock card is destroyed, 1 Hero target regains 1 HP. POWER: Destroy up to 3 Flock cards. Discover 1 Flock card.	"She now moves with a confidence born of  experience and uprightness.”	Mr. Fixer, Dark Watch Vol. 2 #23	2	Rook City Renegades
The Harpy	The Harpy	Harpy Hex	-	Ongoing, Limited	After a Flock card is destroyed, The Harpy deals 1 target 2 infernal damage. END PHASE  You may discover 1 Flock card.	"You must learn to control your power, Lillian.  Or else it will control you.”	NightMist, Dark Watch Vol. 1 #65	2	Rook City Renegades
The Harpy	The Harpy	Huginn the Wise	8	Cohort	START PHASE 1 Hero target regains 2 HP. END PHASE Either draw 2 cards or play 1 card.	"It’s honestly bonkers to me that  your bird is straight-up magical.  How does any of this work?”	Tachyon, Freedom Five #583	1	Rook City Renegades
The Harpy	The Harpy	Lash of the Elements	-	One-Shot	The Harpy deals 1 target 1 irreducible cold damage, 1 irreducible fire damage, and 1 irreducible lightning damage. If there are no Flock cards in play, you may draw 1 card or play 1 Ongoing card.	"I hold sway over the very elements of  existence, and you shall suffer-- Ah, I seem to  have gotten your attention.”	The Harpy, Freedom Five Annual #29	3	Rook City Renegades
The Harpy	The Harpy	Losing Focus	-	SUDDENLY!, One-Shot	Shuffle your trash into your deck. The Harpy deals herself 1 fixed psychic damage. Discover 1 Flock card.	"I must persevere. They’re depending on me  to finish this, no matter the cost.”	The Harpy, Tome of the Bizarre Vol. 4 #77	2	Rook City Renegades
The Harpy	The Harpy	Magical Bequest	-	Ongoing, Limited	POWER: Destroy 1 Flock card. Then, either collect 1 Ongoing card, destroy 1 Ongoing card, or play 1 Ongoing card. END PHASE You may destroy all Flock cards in play. If you do, destroy this card.	"Thank you, my friend and mentor. I only wish  I could have done more to aid you.”	The Harpy, Dark Watch Vol. 2 #24	3	Rook City Renegades
The Harpy	The Harpy	The Mask of Sky and Shroud	-	Item, Relic, Limited	Flock cards gain the keyword "SUDDENLY!". POWER: Draw up to 5 cards.	"The lines of pow’r alight through threads and plume,  Yet all lead thus: to terror and to doom!”	The Morrigan, Dark Watch Vol. 1. #42	3	Rook City Renegades
The Harpy	The Harpy	Mischief of Magpies	-	Ongoing, Flock	START PHASE Discard 2 cards. Then, if you have no cards in hand, The Harpy deals herself 2 fixed psychic damage and destroy this card. END PHASE Up to 2 Heroes each draw 1 card.	"You think, dear child, to steal from me and mine?  The Court of Fey shall take of thee and thine!”	The Dagda, Dark Watch Vol. 1 #49	2	Rook City Renegades
The Harpy	The Harpy	Muninn the Scarred	8	Cohort	START PHASE You may destroy 1 Hero Ongoing card. END PHASE This card deals up to 2 targets 3 projectile damage each.	"I’m not much of a bird person, but there’s  something about this one. It’s got grit. I don’t  know, maybe I’m projecting.”	Expatriette, Dark Watch Vol. 1 #97	1	Rook City Renegades
The Harpy	The Harpy	Reservoirs of Power	-	Ongoing, Limited	POWER: The Harpy deals up to 3 targets 1 infernal damage each. If at least 1 Hero target is dealt damage this way, play 1 card. DRAW PHASE You may draw 1 additional card this phase.	"You see how these feckless mortals shy away  from your power? They are beneath you!”	Blood Countess, Mystery Comics Vol. 2 #326	3	Rook City Renegades
