Villain	Deck	Title	HP	Keywords	Nemesis Icon	Game Text	Flavor Text	Attribution	Qty	Set
GloomWeaver	GloomWeaver	Ophidia, the Deceiver	13	Chosen	-	START PHASE Reveal the top card of the Villain deck. If it is a target card, play it. Otherwise, discard it. END PHASE The Hero character with the second lowest HP either destroys 1 of their Ongoing cards or deals themself (H) psychic damage.	She slithers between this reality and the next, feeding on our very souls.	NightMist, Fabric of Despair #2	1	Rook City Renegades
GloomWeaver	GloomWeaver	Pouch of Bones	30	Relic	-	When this card is destroyed, each Villain target deals itself 3 fixed psychic damage. END PHASE Discover 1 Zombies card. If no cards are played this way, shuffle the Villain trash into the Villain deck and GloomWeaver deals each Hero target 1 psychic damage.	The dead walk again?! Blasphemy! They shall be scoured from existence!	Fanatic, Prime Wardens Vol. 1 #157	1	Rook City Renegades
GloomWeaver	GloomWeaver	Ronwe, the Cursed	13	Chosen	-	START PHASE This card deals the (H) minus 1 Hero targets with the highest HP 3 infernal damage each. END PHASE This card deals each Hero target 1 fire damage.	You shall beg for true despair! And he, the dread lord GloomWeaver, shall grant it!	Ronwe, the Cursed, Freedom Five Annual #6	1	Rook City Renegades
GloomWeaver	GloomWeaver	Strength of the Grave	-	Ongoing	-	+1 damage dealt by Zombies cards. After a Chosen or Cultists card is destroyed, discover 1 Zombies card.	Let the graves of the damned be opened! The servants of Gloom grow ever stronger!	GloomWeaver, NightMist #42	1	Rook City Renegades
GloomWeaver	GloomWeaver	Summoning Circle	-	Ongoing	-	After this card is played, discover (H) minus 1 Cultists cards. START PHASE Reveal the top X cards of the Villain deck, where X is the number of Cultists cards in play. Play any Relic cards revealed this way. Discard the other revealed cards.	You're using that archaic method for bringing a being from another reality into this one? How droll.	The Visionary, Tome of the Bizarre Vol. 3 #30	2	Rook City Renegades
GloomWeaver	GloomWeaver	Tear at Reality's Veil	-	One-Shot	-	Discover 1 Chosen card. Destroy the non-Hero target with the lowest HP other than GloomWeaver. GloomWeaver deals each non-Villain target 3 psychic damage.	His Imminence the all-powerful Lord of Gloom himself has seen fit to bless me with greater purpose!	Ronwe, the Cursed, Tome of the Bizarre Vol. 2 #338	1	Rook City Renegades
GloomWeaver	GloomWeaver	Vast Following	-	One-Shot	-	Shuffle the Villain trash into the Villain deck. Discover (H) minus 1 Cultists cards.	Your children hear your call, dread GloomWeaver!	Cult Leader Massey, Fabric of Despair #4	2	Rook City Renegades
GloomWeaver	GloomWeaver	Zombie Servants	3	Zombies	-	END PHASE This card deals the Hero target with the highest HP (H) melee damage.	The dead are robbed of the bliss of true gloom, but they can still bring gloom to others!	Deathrattle, NightMist #41	4	Rook City Renegades
Grand Warlord Voss	Grand Warlord Voss	Advance Soldiers	6	Gene-Bound	-	This card is immune to projectile damage. END PHASE This card deals the Hero target with the highest HP 2 projectile damage.	The Qubrin had almost unparalleled hand-eye coordination. Made for exceptional marksmen, after the culling.	Gene-Doctor Kronz, Thorathian Gene-Binding Journal One-Shot	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Bionauts	6	Gene-Bound	-	This card is immune to toxic damage. END PHASE This card deals the Hero target with the lowest HP 2 toxic damage.	The Mubbloxians' naturally toxic blood provided a delightful opportunity for a new class of soldier.	Gene-Doctor Kronz, Thorathian Gene-Binding Journal One-Shot	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Field Marshal Tamar	9	Thorathian	-	END PHASE This card deals the Hero target with the highest HP (H) minus 2 melee damage. Each Gene-Bound card deals that Hero target 1 melee damage.	To your knees, pathetic denizens of this mudhole of a planet! You'll be gene-bound and finally made part of something worthwhile!	Field Marshal Tamar, Freedom Five #321	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Firesworn	6	Gene-Bound	-	This card is immune to fire damage. END PHASE This card deals the Hero target with the highest HP 2 fire damage.	Trodcullons were a race of barely sentient volcano dwellers. We gave them purpose as a combustion squad.	Gene-Doctor Kronz, Thorathian Gene-Binding Journal One-Shot	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	First Lieutenant Vyktor	9	Thorathian	-	END PHASE This card deals the Hero character with the most cards in play (H) energy damage. Each Device card deals each Hero target 1 energy damage.	You could surrender peacefully, but if I'm being honest, I prefer you resist. We could use a good stretch.	First Lieutenant Vyktor, Freedom Five #322	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Forced Deployment	-	Ongoing	-	When this card is destroyed, shuffle the Villain trash into the Villain deck, then discover (H) Gene-Bound cards. START PHASE Destroy this card.	You live and die by the whims of the Thorathian military! Bring the same devastation to these people that was visited upon your own planet!	Field Marshal Tamar, Freedom Five #441	2	Core Game
Grand Warlord Voss	Grand Warlord Voss	Frosthounds	6	Gene-Bound	-	This card is immune to cold damage. END PHASE This card deals each Hero target 2 cold damage.	The gene-binding of Gadrion Delta's Feethsmar predates my time here. The Grand Warlord has an unsubtle hand.	Gene-Doctor Kronz, Thorathian Gene-Binding Journal One-Shot	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Gene-Doctor Kronz	9	Thorathian	-	END PHASE Destroy (H) minus 2 Hero Ongoing and/or Item cards. Discover 1 Gene-Bound card.	Twisted? If twisted is what you seek, step into my gene-clave!	Gene-Doctor Kronz, Cosmic Tales Vol. 2 #173	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Grunt Guards	6	Gene-Bound	-	This card is immune to melee damage. -1 damage dealt to Villain targets.	The self-repairing flesh of the Ruoenf people was easily catalyzed into nigh-immortal front line troopers.	Gene-Doctor Kronz, Thorathian Gene-Binding Journal One-Shot	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Ion-Lancers	6	Gene-Bound	-	This card is immune to energy damage. END PHASE This card deals the Hero target with the lowest HP 2 energy damage.	The agricultural Henathians were cowardly and weak. Their genetic material is now used for our deadliest reapers.	Gene-Doctor Kronz, Thorathian Gene-Binding Journal One-Shot	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Protective Detail	-	One-Shot	-	Shuffle the Villain trash into the Villain deck. Discover 1 Thorathian card. Discover (H) minus 1 Gene-Bound cards.	You two, on me. We mustn't keep the Grand Warlord waiting.	First Lieutenant Vyktor, Freedom Five #441	3	Core Game
Grand Warlord Voss	Grand Warlord Voss	Psi-Weavers	6	Gene-Bound	-	This card is immune to psychic damage. END PHASE This card deals each Hero target 2 psychic damage.	After the obliteration of Piune Prime's intellectual meritocracy, we harvested cerebral matter for our psychic exterminators.	Gene-Doctor Kronz, Thorathian Gene-Binding Journal One-Shot	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Quark-Drive Translocator	10	Device	-	START PHASE Play the top card of the Villain deck. END PHASE This card deals the Hero target with the lowest HP 1 energy damage.	They will struggle for their little planet, thinking that if they can hold back our forces, they'll win. But my forces are infinite.	Grand Warlord Voss, Cosmic Tales Vol. 2 #203	2	Core Game
Grand Warlord Voss	Grand Warlord Voss	Reso-Banshees	6	Gene-Bound	-	This card is immune to sonic damage. END PHASE This card deals the Hero character with the most Ongoing cards in play 3 sonic damage.	The harsh atmosphere of Vdronix resulted in powerful lungs and vocal chords. Easily weaponized.	Gene-Doctor Kronz, Thorathian Gene-Binding Journal One-Shot	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Ruthless Approach	-	One-Shot	-	Grand Warlord Voss deals the Hero target with the highest HP (H) melee damage. Grand Warlord Voss deals each Hero target 1 fire damage and 1 energy damage.	I never mind an opportunity to get personally involved.	Grand Warlord Voss, America's Finest Legacy #182	3	Core Game
Grand Warlord Voss	Grand Warlord Voss	Shock Infantry	6	Gene-Bound	-	This card is immune to lightning damage. END PHASE This card deals the Hero target with the highest HP 3 lightning damage.	I will see Voss's hideous work undone or perish in the process!	Tempest, Freedom Five #324	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	TCF "Stalwart"	15	Device	-	END PHASE This card deals the 2 non-Villain targets with the highest HP 5 energy damage each. Then, discover 1 Gene-Bound or Thorathian card.	Attacks from that massive ship are tearing the city apart! If I don't get up there, we won't have much of a planet left to defend!	Legacy, America's Finest Legacy #180	1	Core Game
Grand Warlord Voss	Grand Warlord Voss	Thorathian Conquering Fleet	20	Device	-	END PHASE This card deals each Hero target 2 fire damage. Then, destroy (H) minus 2 Hero Ongoing and/or Item cards.	The Thorathian fleet, here at my home planet? I had hoped this day would never come. This may well be the end of humanity as we know it.	Captain Cosmic, Cosmic Tales Vol. 2 #202	2	Core Game
Grimm	Grimm	The Beast	-	Role, Indestructible	-	PART: 1 character in this play area deals the 3 targets with the highest HP 2 melee damage each, then regains 2 HP. RESIST: 1 character in this play area deals themself 2 fixed psychic damage.  END PHASE: Activate the PART on this card.	The knee bone's connected to the… leg bone! But not for much longer!	The Scholar, Alpha Vol. 1 #80	1	Disparation
Grimm	Grimm	Cast Doubt	-	One-Shot	-	Select 2 Role cards in Hero play areas. Move each selected Role card to the other play area. Grimm deals each Hero character in a play area with Role cards that moved this way 3 irreducible psychic damage.	No, no, no; you were all ***far*** too successful playing those parts. Let's try the same scene again, but with a few changes.	Grimm, Tome of the Bizarre Vol. 4 #61	2	Disparation
Grimm	Grimm	A Cautionary Tale	-	One-Shot	-	Discover 1 Role card, playing it in the Hero play area with the most tokens on Role cards. Move all tokens on Role cards in that play area to the card played this way. If there are 2 or more Role cards in that Hero play area, bury all Role cards with no tokens in that play area. Otherwise, activate the PART on the Role card in that play area.	The prophesies have long fortold your coming! Hurry -- we haven't a moment to waste.	Grimm, Virtuoso of the Void Vol. 1 #31	1	Disparation
Grimm	Grimm	The Chosen	-	Role, Indestructible	-	PART: Discover 1 Ongoing card. Each character not in this play area deals themself 1 fixed psychic damage. RESIST: Discard the top card of your deck. Destroy 1 non-character Hero card with no keywords matching the discarded card.  END PHASE: Activate the PART on this card.	I cannot shrink from this responsibility, though both unwanted and unearned it may be. The world must be set aright!	The Argent Adept, Virtuoso of the Void Vol. 1 #31	1	Disparation
Grimm	Grimm	The Companion	-	Role, Indestructible	-	PART: If this card is in the Villain play area, each Hero discards 1 card. If not, 1 ally Hero plays 1 card. RESIST: Each Hero with 4 or more cards in hand discards 1 card. Then, 1 Hero discards 1 card.  END PHASE: Activate the PART on this card.	I fear what lies ahead, chosen one. Will you hold my hand and keep me safe?	Grimm, Virtuoso of the Void Vol. 1 #31	1	Disparation
Grimm	Grimm	A Crooked Plan	-	Ongoing	-	START PHASE: Add 1 token to each Role card with no tokens.  END PHASE: Select the Role card in a Hero play area with the fewest tokens on it and the Role card in the Villain play area with the most tokens on it. Move each selected Role card to the other play area.	The stories have all led to this moment! Are you ready for ***The End?!***	Grimm, Tome of the Bizarre Vol. 4 #60	1	Disparation
Grimm	Grimm	The Cursed	-	Role, Indestructible	-	PART: 1 character in this play area deals the 3 characters with the lowest HP 1 infernal damage each, then regains 3 HP. RESIST: Discard your hand. Draw 3 cards.  END PHASE: Activate the PART on this card.	You fear betraying your friends? Rest your mind at ease. After today, you have no friends.	Grimm, Tome of the Bizarre Vol. 4 #7	1	Disparation
Grimm	Grimm	The Fool	-	Role, Indestructible	-	PART: Discard the bottom card of this play area's deck. If it is not a One-Shot card, play it. RESIST: Play the bottom card of the Environment deck. If it is a target, it deals 1 character in this play area 2 melee damage.  END PHASE: Activate the PART on this card.	Why won't anyone listen to me? We have to save the environment! It's really serious! I'm not joking!	The Naturalist, Tome of the Bizarre Vol. 4 #60	1	Disparation
Grimm	Grimm	The Hunter	-	Role, Indestructible	-	PART: 1 character in this play area deals the target other than itself with the highest HP 3 melee damage. RESIST: Discard 2 cards.  END PHASE: Activate the PART on this card.	I don't wish harm upon NightMist, but the dread queen will kill me and my family if I do not dispose of her in the woods. What am I to do?	Tempest, The Savage Haka Vol. 1 #193	1	Disparation
Grimm	Grimm	The Innocent	-	Role, Indestructible	-	PART: Discard the top card of this play area's deck. If an Item card was not discarded this way, 1 character in this play area regains 6 HP. RESIST: Either discard 1 One-Shot card or discover 1 Ongoing card from the Villain deck.  END PHASE: Activate the PART on this card.	Oh no. I sure hope there are no wolves around. So scary.	Alpha, Alpha Vol. 1 #80	1	Disparation
Grimm	Grimm	Kill the Beast	-	One-Shot	-	Discover 1 Role card. Activate the PART on each of these Role cards in this order: The Hunter, The Chosen, and The Cursed. After a Hero activates a RESIST this way, Grimm deals the Hero character with the highest HP (H) minus 1 melee damage.	And thus we come to the moral of the story: the bigger they are, the harder they fall.	Grimm, The Savage Haka Vol. 1 #193	2	Disparation
Grimm	Grimm	Plot Armor	-	Ongoing	-	-X damage dealt to Grimm, where X is the number of Role cards in Hero play areas.  START PHASE: Up to (H) minus 2 Heroes may activate the PART on a Role cards in their play area. If (H) minus 2 PARTs are activated this way, destroy this card.	They looked from hero to villain, and from villain to hero, and from hero to villain again; but already it was impossible to say which was which.	, Dark Watch Vol. 1 #92	1	Disparation
Grimm	Grimm	The Prince	-	Role, Indestructible	-	PART: The Hero with the most cards in hand discards 2 cards. If this card is in a Hero play area, draw up to 3 cards. RESIST: Discard 1 card, then discard each card in your hand that shares a keyword with that card.  END PHASE: Activate the PART on this card.	My father is… the king? Yes, of course that's right. I am the valiant prince, after all.	Fanatic, Tome of the Bizarre Vol. 4 #60	1	Disparation
Grimm	Grimm	Scene Change	-	Ongoing	-	After this card is played, bury the Villain trash and discover 1 Role card, playing it in the Villain play area. Move all tokens on Role cards in the Villain play area to the most recently played Role card.  END PHASE: Play the top card of the Environment deck. If it is a target, it deals the Hero target with the highest HP 2 fire damage.	…and none of them lived happily ever after.	Grimm, Ra: God of the Sun Vol. 1 #192	1	Disparation
Grimm	Grimm	Spin Straw Into Gold	-	One-Shot	-	Each Hero activates the RESIST on a Role card in their play area. Each player may discard up to 3 cards. If (H) or more are discarded this way, remove 1 token from each Role card in play.	Names do have power, but the more they're used, the less potent they are. Now, consider a name that has never been uttered…	NightMist, Arcane Tales Vol. 2 #600	1	Disparation
Grimm	Grimm	Stolen Voice	-	One-Shot	-	Discover 1 Role card. Activate the PART on each of these Role cards in this order: The Witch, The Prince, and The Companion. After a Hero activates a RESIST this way, (H) minus 2 Heroes each discard 1 card.	Of course I trust you, Portja. If you believe your newfound powers are under control, then I'm up for whatever spell it takes to make things right.	Young Legacy, Tome of the Bizarre Vol. 4 #11	2	Disparation
Grimm	Grimm	The Story Unfolds	-	One-Shot	-	Discover 1 Role card. Activate the PART on each Role card in the Villain play area. Activate the PART on a Role card in each Hero play area in turn order. If any RESIST is activated this way, play the top of the Villain deck.	I get it now. ***You're*** the connecting thread in all your tales. I don't much care to find out just where that thread leads.	Rambler, Tome of the Bizarre Vol. 2 #100	1	Disparation
Grimm	Grimm	Tales Retold	-	One-Shot	-	Bury the 2 Role cards in Hero play areas with the fewest tokens on them. Shuffle the Villain trash into the Villain deck. Discover 2 Role cards, playing them in the play areas of the 2 Hero characters with the lowest HP and no Role cards.	Hello, readers. You may not remember me, but I remember you. I have so many stories to tell you.	Grimm, Tome of the Bizarre Vol. 4 #1	2	Disparation
Grimm	Grimm	What Big Teeth	-	One-Shot	-	Discover 1 Role card. Activate the PART on each of these Role cards in this order: The Beast, The Innocent, and The Fool. After a Hero activates a RESIST this way, Grimm deals the Hero character with the lowest HP (H) minus 2 psychic damage.	I may be misrememberin', but this aint the way this story goes…	Rambler, Alpha Vol. 1 #80	2	Disparation
Grimm	Grimm	The Witch	-	Role, Indestructible	-	PART: 1 Hero draws 2 cards. If this card is in a Villain play area, destroy 1 Hero Ongoing card. RESIST: Destroy 1 Item or Ongoing card in the Hero play area with the most cards.  END PHASE: Activate the PART on this card.	Two bubbles! Hard work! Predicaments? …I am not understanding how this story goes.	Sky-Scraper, Tome of the Bizarre Vol. 4 #11	1	Disparation
Iron Legacy	Iron Legacy	Airborne Assault	-	One-Shot	-	Iron Legacy deals the Hero target with the highest HP (H) melee damage. Play the top card of the Villain deck.	Your meddling in my realm will not be tolerated! Prepare to face justice!	Iron Legacy, Disparation Vol. 2 #139	2	Disparation
Iron Legacy	Iron Legacy	Demoralizing Presence	-	Ongoing	-	Iron Legacy is immune to damage dealt by Environment targets.  END PHASE: Iron Legacy regains (H) HP. The (H) minus 2 Heroes with the most cards in hand discard 1 card each.	The bleakest of times is the work of one of time's greatest heroes.	Omnitron-X, Justice Comics Vol. 1 #658	1	Disparation
Iron Legacy	Iron Legacy	Ever Vigilant	-	Ongoing	-	After a Villain Ongoing card is buried or destroyed, Iron Legacy regains 1 HP. After the first time Iron Legacy is dealt damage by any target other than himself each turn, Iron Legacy deals the attacker 2 melee damage.	I have one chance to make this work. If it fails… we all fall.	Tachyon, Freedom Six One-Shot	1	Disparation
Iron Legacy	Iron Legacy	Final Evolution	-	One-Shot	-	Iron Legacy regains (H) HP. Discover (H) minus 2 Ongoing cards.	What now, hero?! What has your legacy wrought?!	Baron Blade, The Fall of Legacy One-Shot	3	Disparation
Iron Legacy	Iron Legacy	Former Allies	-	One-Shot	-	Each Hero character deals themself 2 fixed psychic damage. Each Hero discards 1 card.	Friends are merely weaknesses waiting to be exploited.	Legacy, The Fall of Legacy One-Shot	2	Disparation
Iron Legacy	Iron Legacy	Furious Charge	-	Ongoing	-	END PHASE: Iron Legacy deals the Hero target with the highest HP (H) melee damage. Iron Legacy regains (H) HP.	That's the thing -- you ***did*** give me hope. I'd started to think that you were different. Guess I was right all along.	Absolute Zero, Freedom Six One-Shot	1	Disparation
Iron Legacy	Iron Legacy	Galvanized	-	Ongoing	-	+1 damage dealt by Iron Legacy.  END PHASE: Iron Legacy deals the Hero target with the highest HP 2 irreducible melee damage.	There is no longer a legacy to further. So be it.	Legacy, The Fall of Legacy One-Shot	1	Disparation
Iron Legacy	Iron Legacy	Grim Determination	-	Ongoing	-	After Iron Legacy is dealt damage by a Hero target, he regains 1 HP.  END PHASE: If Iron Legacy has 8 or fewer HP, Iron Legacy regains 8 HP. Then, bury this card.	Nothing you say matters. I ***will*** bring justice to this world.	Iron Legacy, The Final Legacy #6	1	Disparation
Iron Legacy	Iron Legacy	Heartless Haymaker	-	One-Shot	-	Iron Legacy deals the (H) minus 1 Hero targets with the highest HP 2 melee and 2 projectile damage each. Destroy 1 Environment card.	You are all ***weak!*** There is no room for such spinelessness if we are to have justice.	Iron Legacy, The Final Legacy #1	2	Disparation
Iron Legacy	Iron Legacy	Heroic Termination	-	One-Shot	-	Discover 1 Ongoing card. Iron Legacy deals the Hero target witth the highest HP X irreducible melee damage, where X is the number of Villain Ongoing cards in play.	Something broke him. All this Legacy has left is to break everything else.	The Visionary, America's Finest Legacy Vol. 1 #201	2	Disparation
Iron Legacy	Iron Legacy	Iron Eye	-	Ongoing	-	Damage dealt by Iron Legacy is irreducible.  END PHASE: Iron Legacy deals the Hero target with the lowest HP (H) minus 2 melee damage.	Even you can't move fast enough to avoid lightni--	Tempest, Freedom Six One-Shot	1	Disparation
Iron Legacy	Iron Legacy	Iron Fortitude	-	Ongoing	-	-1 damage dealt to Iron Legacy. After Iron Legacy is dealt damage by a Hero target, that Hero target deals itself 1 fixed psychic damage.	I hit him as hard as I could, and he did not flinch. I do not know this man.	Haka, The Final Legacy #5	1	Disparation
Iron Legacy	Iron Legacy	KRAKK!	-	One-Shot	-	Iron Legacy deals the Hero target with the highest HP (H) plus 2 melee damage. Each Hero target deals itself 1 fixed psychic damage.	There is no room for mercy. Your punishment shall be swift.	Iron Legacy, Freedom Five Annual Vol. 1 #25	2	Disparation
Iron Legacy	Iron Legacy	The New Order	-	One-Shot	-	Destroy all Environment Ongoing cards. Destroy 1 Hero Ongoing card. Shuffle the Villain trash into the Villain deck. Discover (H) minus 2 Ongoing cards.	We don't want to learn about their version of ***order*** and ***justice*** firsthand.	The Wraith, The Final Legacy #2	2	Disparation
Iron Legacy	Iron Legacy	No More Heroes	-	One-Shot	-	Destroy (H) Hero Ongoing and/or Item cards. Discover 1 Ongoing card.	Don't you get it? We're ***not*** a team anymore. There are no heroes. There is only justice.	Iron Legacy, The Final Legacy #1	2	Disparation
Iron Legacy	Iron Legacy	Rule From the Front	-	Ongoing	-	Whenever Iron Legacy would be dealt 8 or more damage at once, prevent that damage. Then, bury this card.  END PHASE: Destroy 1 Item card. If no cards are destroyed this way, shuffle each trash into its deck, then discover 1 Ongoing card.	It won't take him long to get through the suit. Get to safety while you can! This is the end of the line for me.	Bunker, Freedom Six One-Shot	1	Disparation
Kismet	Kismet	The Adhin Talisman	7	Relic	-	-X damage dealt to Kismet, where X is the number of Unlucky cards in play. +1 damage dealt by Kismet.	She has always believed that her family talisman is what makes her lucky. No matter how much evidence there is otherwise.	Setback, Mystery Comics Vol. 2 #290	1	Rook City Renegades
Kismet	Kismet	Fortune's Smile	-	One-Shot, Lucky	-	Kismet regains (H) plus 3 HP. Kismet deals each Hero target 3 psychic damage. Play the top card of the villain deck.	Welcome back, your majesty! We, your loyal subjects, have greatly missed you, our High Queen of planet Earth!	Royal Advisor Parsons, Disparation Vol. 2 #58	1	Rook City Renegades
Kismet	Kismet	Glass Jaw	-	Ongoing, Unlucky	-	Play this card in the play area with the Hero character with the highest HP. +1 damage dealt to targets in this play area.	Did that hurt? I can pretend to be sorry, if it'll help.	Kismet, Prime Wardens Vol. 2 #9	2	Rook City Renegades
Kismet	Kismet	Hot Streak	-	One-Shot, Lucky	-	Kismet deals each non-Villain target 2 fire damage. Discover 1 Unlucky card.	Careful, there! The safety regulations here seem awfully lax.	Kismet, Southwest Sentinels #16	2	Rook City Renegades
Kismet	Kismet	Inconceivable Obstruction	-	Ongoing, Lucky	-	If Kismet would be dealt 3 or more damage, reveal the top card of the Environment deck. If it is a target, play it and redirect the damage to it. If it is not a target, discard it.	Aahh! Shark! Why is there a shark?!	Ra, Mystery Comics Vol. 2 #292	1	Rook City Renegades
Kismet	Kismet	Karmic Disjunction	-	Ongoing, Unlucky	-	Play this card in the play area with the Hero character with the lowest HP. END PHASE Destroy 1 Hero Ongoing or Item card in this play area.	What is happening?! Young lady, I'm going to have to insist you stop interfering with my powers at once!	Captain Cosmic, Prime Wardens Vol. 2 #11	3	Rook City Renegades
Kismet	Kismet	Lady Luck	-	Ongoing, Lucky	-	After a Lucky card is played, Kismet regains 2 HP. After an Unlucky card is played, 1 Hero discards 1 card.	He's here to open things that don't want to open. You're here to make things just happen to go our way. Just stand around and be lucky, got it?	Highbrow, Run of Luck #1	1	Rook City Renegades
Kismet	Kismet	Like a Charm	-	One-Shot, Lucky	-	Summon The Adhin Talisman. Discover 1 Lucky card.	There you are! I've been looking all over for you! I'll never know how you ended up here, but you always do come back to me, at least.	Kismet, Tome of the Bizarre Vol. 4 #62	2	Rook City Renegades
Kismet	Kismet	Scattered Mind	-	Ongoing, Unlucky	-	Play this card in the play area of the Hero with the most cards in hand. After this Hero draws a card, each target in this play area deals itself 1 fixed psychic damage.	Ugh! My... memories-- give them back to me!	The Visionary, Mystery Comics Vol. 2 #291	2	Rook City Renegades
Kismet	Kismet	Shaky Arm	-	Ongoing, Unlucky	-	Play this card in the play area of the Hero with the most cards in play. -1 damage dealt by targets in this play area.	Awww. Look at your gun wobble! You couldn't hit the broad side of a barn!	Kismet, Freedom Five #724	2	Rook City Renegades
Kismet	Kismet	Shared Fate	-	Ongoing, Lucky	-	After Kismet is dealt damage by a non-Villain target, Kismet deals the same amount of fixed energy damage to the Hero target with the highest HP. START PHASE The Hero target with the highest HP may deal themselves 3 fixed psychic damage. If they take damage this way, destroy this card.	You've been a pain in my side ever since you showed back up in Pete's life, and I'm ready for some high-strength painkillers!	Expatriette, Dark Watch Vol. 1 #21	1	Rook City Renegades
Kismet	Kismet	Two Left Feet	-	Ongoing, Unlucky	-	Play this card in the play area of the Hero with the most cards in their trash. After this Hero plays a card, each target in this play area deals itself 1 fixed psychic damage.	Slow down, slugger! Anyone ever tell you that you're moving too fast?	Kismet, Freedom Five #723	2	Rook City Renegades
Kismet	Kismet	Unlucky Break	-	One-Shot, Lucky	-	Discover (H) minus 1 Unlucky cards. Each Hero target in a play area with any Unlucky cards deals themself 2 fixed psychic damage. Destroy 1 Environment card.	I am not sure if you call it a ceiling, or a roof? Or, because we are in a tunnel, is it something else? Either way, it comes down now!	Sky-Scraper, Arcane Tales Vol. 2 #509	3	Rook City Renegades
Kismet	Kismet	Weak Heart	-	Ongoing, Unlucky	-	Play this card in the play area of the Hero with the fewest cards in hand. Targets in this play area cannot regain HP.	You look pretty worn out. Probably best to just throw in the towel. Call it a day. Hang up the cape. Wait, why don't you have a cape, anyway?	Kismet, Run of Luck #1	2	Rook City Renegades
La Capitan	La Capitan	The Amazing Mable	5	Crew	-	This card is immune to melee and projectile damage.  END PHASE: Destroy 1 Hero Ongoing or Item card.	Let's see what you've got, sugar!	The Amazing Mable, La Paradoja Magnifica One-Shot	1	Disparation
La Capitan	La Capitan	Battle-Forged	10	Crew	-	+1 damage dealt by this card.  END PHASE: This card deals the non-Villain target with the second highest HP (H) minus 1 melee damage.	A warrior of legend stands before you! Stand and face me, or run and die tired!	Battle-Forged, Freedom Five Vol. 1 #650	1	Disparation
La Capitan	La Capitan	Captain's Orders	-	Ongoing	-	END PHASE: The Villain target with the lowest HP deals the Hero target with the highest HP (H) plus 1 melee damage. That target's Hero puts 1 card from their hand under La Capitan's character card.	I want their heads, and I want them yesterday! Actually yesterday!	La Capitan, The Tides of Time #3	2	Disparation
La Capitan	La Capitan	Chip	9	Crew	-	After this card deals damage to a Hero character, discard the top card of that Hero's deck.  END PHASE: This card deals the 2 Hero targets with the highest HP (H) minus 2 projectile damage.	The captain found this fancy flyer for me, so I'm more than happy to follow her orders to deal with you!	Chip, Freedom Five Vol. 1 #683	1	Disparation
La Capitan	La Capitan	Chiquito	3	Crew	-	After a Hero card is discarded during the Villain turn, put that card under La Capitan's character card.  END PHASE: Discard the top card of the deck of the Hero with the most cards in hand.	Come, little pícaro. What have you found for me? You always bring me such sweet presents.	La Capitan, La Paradoja Magnifica One-Shot	1	Disparation
La Capitan	La Capitan	Final Breath	7	Crew	-	After this card deals toxic damage to a target, if that target has 2 or fewer HP, destroy it.  END PHASE: This card deals the 2 non-Villain targets with the lowest HP (H) minus 2 toxic damage each.	There is no honor in this kill, but the demands of the blade must be met, and I am not yet ready to pay that price.	Final Breath, Freedom Five Vol. 1 #652	1	Disparation
La Capitan	La Capitan	A Fine Vessel	-	One-Shot	-	La Paradoja Magnifica deals the Hero target with the highest HP 2 projectile damage and 2 fire damage. If La Paradoja Magnifica is not in play, destroy 2 random cards under La Capitan's character card and summon La Paradoja Magnifica.	¡Que bonita! She knows well the sea of time.	La Capitan, La Paradoja Magnifica One-Shot	2	Disparation
La Capitan	La Capitan	L'Épéiste	6	Crew	-	After this card deals damage to a Hero character, that Hero discards 1 card.  END PHASE: This card deals the Hero character of the Hero with the most cards in hand (H) minus 2 energy damage.	Are you the challenge I have been seeking? En garde!	L'Épéiste, Justice Comics Vol. 1 #650	1	Disparation
La Capitan	La Capitan	La Paradoja Magnifica	20	Relic	-	If there are any Crew cards in play, -2 damage dealt to this card.  END PHASE: Discover 1 Crew card. If no cards are played this way, bury the Villain trash, then this card deals the Hero target with the highest HP 2 projectile damage and 2 fire damage.	Haul on the main brace! Roll out the guns! Prepare to board!	La Capitan, The Tides of Time #1	1	Disparation
La Capitan	La Capitan	A Motley Crew	-	One-Shot	-	Shuffle all Crew cards from the Villain trash into the Villain deck. Discover (H) minus 2 Crew cards.	Out of the breach, you scurvy devils! Somebody's getting paid!	La Capitan, The Tides of Time #4	3	Disparation
La Capitan	La Capitan	Plunder	-	One-Shot	-	Put the top card of the Environment deck under La Capitan's character card. Destroy (H) minus 2 Hero Ongoing or Item cards.	She uses purloined materials to access nodes along the timestream. The more she takes, the further she ventures.	Omnitron-X, Arcane Tales Vol. 2 #518	2	Disparation
